X,academic,sports,music,acceptance
1,230.1,37.8,62.9090909,81.851852
2,44.5,39.3,41,38.518519
3,17.2,45.9,63,34.444444
4,151.5,41.3,68.5185185,68.518519
5,180.8,10.8,53.0909091,47.777778
6,8.7,48.9,68.1818182,26.666667
7,57.5,32.8,21.3636364,43.703704
8,120.2,19.6,10.5454545,48.888889
9,8.6,2.1,0.9090909,17.777778
10,199.8,2.6,19.2727273,39.259259
11,66.1,5.8,22,31.851852
12,214.7,24,64.4444444,64.444444
13,23.8,35.1,59.9090909,34.074074
14,97.5,7.6,6.5454545,35.925926
15,204.1,32.9,70.3703704,70.37037
16,195.4,47.7,82.962963,82.962963
17,67.8,36.6,103.6363636,46.296296
18,281.4,39.6,90.3703704,90.37037
19,69.2,20.5,16.6363636,41.851852
20,147.3,23.9,17.3636364,54.074074
